what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.export",1509907824391
activated,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1509907828611
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1509907842325
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1509907847328
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1509907847468
executed,command,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.antShortcut.run",1509907847531
started,bundle,org.eclipse.core.externaltools,1.0.0.v20100505,"org.eclipse.core.externaltools",1509907847562
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1509907850710
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1509907867020
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1509907870426
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1509907872549
activated,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1509907880871
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1509907885982
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1509907981999
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1509907989122
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1509908031363
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1509908045294
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1509908050950
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1509908056130
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1509908059768
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1509908062881
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1509908089244
