what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519272476115
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519272520696
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1519272524493
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519272531371
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519272541820
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519272541914
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519272542006
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.0.v201004262257,"org.eclipse.jst.ws.jaxws.ui",1519272553691
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1519272553717
started,bundle,org.eclipse.pde.api.tools,1.0.201.v20100602-0930,"org.eclipse.pde.api.tools",1519272553882
started,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1519272553882
started,bundle,org.eclipse.jst.ws.annotations.core,1.0.0.v201004262257,"org.eclipse.jst.ws.annotations.core",1519272554054
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1519272554132
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519272554804
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519272559666
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519272566844
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519272568334
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519272581430
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519272585353
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519272607691
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519272611325
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519272649801
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519272653604
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519272671293
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519272672351
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519272678590
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519272679979
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519272698502
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519272709786
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1519272711443
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519272717998
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519272722548
